year,series_name,match_type,match_no,match_date,match_winning_team,match_toss,innings,ball_no,over_no,ball_commentary
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,32,1,"Harshal Patel to Ishan Kishan, out Lbw!! One of those rare errors from Nitin. He thought the ball pitched outside leg, but the replay confirms it was in line with leg stump. Kishan going too far across the line to play that stylish bottom hand whip, misses the ball completely, impact in line with middle and smashing the poles. Harshal Patel was surprised the decision wasn't given and immediately showed the thums up to his captain to say that was out. Good review from RCB. Ishan Kishan lbw b Harshal Patel 28(19) [4s-2 6s-1]"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,33,1,"Harshal Patel to Ishan Kishan, THATS OUT!! Lbw!!"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,34,1,LBW check but. Looked OUT but not given. Looks like Kishan is in trouble. GONE!
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,35,1,"Harshal Patel to Ishan Kishan, 2 runs, now Siraj has dropped a sitter. Harshal Patel digs this slower ball short and into the wicket, Kishan pulls and gets a top edge, straight around hip height for Siraj at deep backward square leg but he was too soft on the hands and it popped out. Hides his face"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,36,1,"Harshal Patel to Pollard, 1 run, Pollard swings hard, but swings early as Harshal Patel takes pace off. Rolls to mid-wicket"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,37,1,So Jamieson and Christian to close out
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,38,1,"Harshal Patel to Pollard, no run, short of length delivery outside off stump, Pollard punches to the left of the bowler"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,39,1,Just 7 runs off it with a wide. Should have had a wicket and that boundary saved too. Siraj ends with an impressive 4-0-22-0.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,40,1,"Siraj to Ishan Kishan, no run, dot! The third of the over. Full and outside off stump, Kishan tries to swipe and gets an inside edge onto pad"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,41,1,"Kohli discusses with Siraj, meanwhile some nervous energy from Krunal in the dugout"
