name,href,role,profile_id
George garton,https://www.cricbuzz.com/profiles/10924/george-garton,bench,10924
Tim david,https://www.cricbuzz.com/profiles/13169/tim-david,bench,13169
Akash deep,https://www.cricbuzz.com/profiles/14726/akash-deep,bench,14726
Aiden markram,https://www.cricbuzz.com/profiles/9582/aiden-markram,playing_11,9582
Adil rashid,https://www.cricbuzz.com/profiles/1742/adil-rashid,playing_11,1742
Evin lewis,https://www.cricbuzz.com/profiles/8579/evin-lewis,playing_11,8579
Nathan ellis,https://www.cricbuzz.com/profiles/15480/nathan-ellis,bench,15480
Tabraiz shamsi,https://www.cricbuzz.com/profiles/10173/tabraiz-shamsi,bench,10173
Glenn phillips,https://www.cricbuzz.com/profiles/10693/glenn-phillips,bench,10693
Oshane thomas,https://www.cricbuzz.com/profiles/11442/oshane-thomas,bench,11442
Shreyas iyer,https://www.cricbuzz.com/profiles/9428/shreyas-iyer,playing_11,9428
Ben dwarshuis,https://www.cricbuzz.com/profiles/9739/ben-dwarshuis,bench,9739
Kulwant khejroliya,https://www.cricbuzz.com/profiles/12643/kulwant-khejroliya,bench,12643
Sherfane rutherford,https://www.cricbuzz.com/profiles/13748/sherfane-rutherford,bench,13748
Gerald coetzee,https://www.cricbuzz.com/profiles/13320/gerald-coetzee,bench,13320
Umran malik,https://www.cricbuzz.com/profiles/19027/umran-malik,bench,19027
Dominic drakes,https://www.cricbuzz.com/profiles/13750/dominic-drakes,bench,13750
Devon conway,https://www.cricbuzz.com/profiles/9838/devon-conway,playing_11,9838
Tushar deshpande,https://www.cricbuzz.com/profiles/11307/tushar-deshpande,playing_11,11307
Rajvardhan hangargekar,https://www.cricbuzz.com/profiles/14599/rajvardhan-hangargekar,bench,14599
Maheesh theekshana,https://www.cricbuzz.com/profiles/18504/maheesh-theekshana,bench,18504
Subhranshu senapati,https://www.cricbuzz.com/profiles/11804/subhranshu-senapati,bench,11804
Prashant solanki,https://www.cricbuzz.com/profiles/12805/prashant-solanki,bench,12805
Mukesh choudhary,https://www.cricbuzz.com/profiles/13184/mukesh-choudhary,bench,13184
Simarjeet singh,https://www.cricbuzz.com/profiles/14163/simarjeet-singh,bench,14163
Chamika karunaratne,https://www.cricbuzz.com/profiles/9500/chamika-karunaratne,bench,9500
Rasikh salam,https://www.cricbuzz.com/profiles/14274/rasikh-salam,bench,14274
Baba indrajith,https://www.cricbuzz.com/profiles/9624/baba-indrajith,bench,9624
Pratham singh,https://www.cricbuzz.com/profiles/12640/pratham-singh,bench,12640
Abhijeet tomar,https://www.cricbuzz.com/profiles/12813/abhijeet-tomar,bench,12813
Aman hakim khan,https://www.cricbuzz.com/profiles/19473/aman-hakim-khan,bench,19473
Ashok sharma,https://www.cricbuzz.com/profiles/24261/ashok-sharma,bench,24261
