,year,series_type,series_name,series_href
2016,2004,International,"Australia in Sri Lanka Test Series, 2004",https://www.cricbuzz.com/cricket-series/1511/australia-in-sri-lanka-test-series-2004/matches
2017,2004,International,"Bangladesh in Zimbabwe ODI Series, 2004",https://www.cricbuzz.com/cricket-series/817/bangladesh-in-zimbabwe-odi-series-2004/matches
2018,2004,International,"Australia in Sri Lanka ODI Series, 2004",https://www.cricbuzz.com/cricket-series/815/australia-in-sri-lanka-odi-series-2004/matches
2019,2004,International,"Bangladesh in Zimbabwe Test Series,2004",https://www.cricbuzz.com/cricket-series/1510/bangladesh-in-zimbabwe-test-series2004/matches
2020,2004,International,"South Africa in New Zealand ODI Series, 2004",https://www.cricbuzz.com/cricket-series/816/south-africa-in-new-zealand-odi-series-2004/matches
2021,2004,International,"West Indies in South Africa ODI Series, 2004",https://www.cricbuzz.com/cricket-series/813/west-indies-in-south-africa-odi-series-2004/matches
2022,2004,International,"Australia, India, Zimbabwe in Australia, 2004",https://www.cricbuzz.com/cricket-series/814/australia-india-zimbabwe-in-australia-2004/matches
2023,2004,International,"Pakistan in New Zealand ODI Series, 2004",https://www.cricbuzz.com/cricket-series/812/pakistan-in-new-zealand-odi-series-2004/matches
2024,2004,Women,Australia Women tour of India 2004,https://www.cricbuzz.com/cricket-series/6092/australia-women-tour-of-india-2004/matches
2025,2004,Women,New Zealand Women tour of England 2004,https://www.cricbuzz.com/cricket-series/4548/new-zealand-women-tour-of-england-2004/matches
